DESCRIPCION,AREA EN m2,TIPO ALMACEN,NIVEL DE ALMACEN,Latitud,Longitud,Departamento,Nivel,id
CARABAYA COAZA MUNICIPALIDAD,150 m2,Adelantado,2,-13.987113199999998,-70.0168186,PUNO,1,28
CARABAYA MACUSANI MUNICIPALIDAD,150 m2,Adelantado,1,-14.072176,-70.42533890000001,PUNO,1,29
CHUCUITO JULI MUNICIPALIDAD,150 m2,Adelantado,2,-16.2142869,-69.45759790000001,PUNO,1,30
EL COLLAO ILAVE MUNICIPALIDAD,150 m2,Adelantado,2,-16.0825395,-69.6384724,PUNO,1,31
HUANCANE HUANCANE MUNICIPALIDAD,150 m2,Adelantado,3,-15.205318900000002,-69.76145679999999,PUNO,1,32
LAMPA LAMPA MUNICIPALIDAD,150 m2,Adelantado,2,-15.3612378,-70.3628516,PUNO,1,33
MELGAR AYAVIRI MUNICIPALIDAD,150 m2,Adelantado,3,-14.884294199999998,-70.58896120000001,PUNO,1,34
MUNICIPALIDAD,150 m2,Adelantado,2,-15.8402218,-70.02188050000001,PUNO,1,35
ANTONIO PUTINA MUNICIPALIDAD,150 m2,Adelantado,3,-14.9161022,-69.86848859999999,PUNO,1,36
ANTONIO SINA MUNICIPALIDAD,150 m2,Adelantado,1,-14.50176,-69.29467,PUNO,1,37
SAN ROMAN JULIACA MUNICIPALIDAD,150 m2,Adelantado,2,-15.493722,-70.1355755,PUNO,1,38
SAN ROMAN JULIACA DIRECCION REGIONAL DC,6000 m2,Central,2,-15.5056335,-70.12573470000001,PUNO,1,39
SANDIA LIMBANI MUNICIPALIDAD,150 m2,Adelantado,2,-14.13785,-69.69991300000001,PUNO,1,40
SANDIA JUAN DEL ORO MUNICIPALIDAD,150 m2,Adelantado,1,-14.27757,-69.215172,PUNO,1,41
SANDIA SANDIA MUNICIPALIDAD,150 m2,Adelantado,1,-14.3175114,-69.4678265,PUNO,1,42
CANDARAVE CANDARAVE CANDAVERE MUNICIPALIDAD PROVINCIAL,160 m2,Adelantado,1,-17.2684815,-70.2512498,TACNA,1,43
BASADRE ILABAYA ILABAYA MUNICIPALIDAD DISTRITAL,70 m2,Adelantado,1,-17.420402300000003,-70.5127345,TACNA,1,44
BASADRE LOCUMBA LOCUMBA MUNICIPALIDAD PROVINCIAL,80 m2,Adelantado,1,-17.6139877,-70.7626696,TACNA,1,45
PALCA PALCA MUNICIPALIDAD DISTRITAL,80 m2,Adelantado,2,-17.776389,-69.958889,TACNA,1,46
DIRECCION REGIONAL DC,1500 m2,Central,2,-18.011589899999997,-70.2561781,TACNA,1,47
TARATA TARATA TARATA MUNICIPALIDAD PROVINCIAL,200 m2,Adelantado,1,-17.4776078,-70.0339387,TACNA,1,48
ABANCAY ABANCAY DIRECCION REGIONAL DC,250 m2,Central,2,-13.6404514,-72.88348570000001,APURIMAC,1,49
ANDAHUAYLAS ANDAHUAYLAS MUNICIPALIDAD,200 m2,Adelantado,2,-13.661651500000001,-73.37676409999999,APURIMAC,1,50
ANTABAMBA ANTABAMBA MUNICIPALIDAD PROVINCIAL,70 m2,Adelantado,1,-14.365153400000002,-72.8778527,APURIMAC,1,51
CHINCHEROS CHINCHEROS CPDC CHINCHEROS,300 m2,Adelantado,2,-13.5177661,-73.723513,APURIMAC,1,52
COTABAMBAS COTABAMBAS COTABAMBAS MUNICIPALIDAD DI,100 m2,Adelantado,1,-13.75711,-72.363632,APURIMAC,1,53
GRAU CHUQUIBAMBILLA MUNICIPALIDAD PROVINCIAL,150 m2,Adelantado,1,-14.114139999999999,-72.714928,APURIMAC,1,54
CANAS YANAOCA YANAOCA MUNICIPALIDAD PROVINCIAL,160 m2,Adelantado,1,-14.2171388,-71.4314206,CUSCO,1,55
CANCHIS SICUANI SICUANI MUNICIPALIDAD PROVINCIAL,120 m2,Adelantado,2,-14.2713299,-71.2220832,CUSCO,1,56
CHUMBIVILCAS STO TOMAS SANTO TOMAS MUNICIPALIDAD PR,40 m2,Adelantado,2,-14.4501924,-72.08197940000001,CUSCO,1,57
CONVENCION STA ANA QUILLABAMBA MUNICIPALIDAD PROVINCIAL,180 m2,Adelantado,2,-12.862625999999999,-72.693354,CUSCO,1,58
WANCHAQ  DIRECCION REGIONAL DC,250 m2,Central,3,-13.527441,-71.96994570000001,CUSCO,1,59
ESPINAR ESPINAR YAURI MUNICIPALIDAD PROVINCIAL,70 m2,Adelantado,2,-14.7895845,-71.412125,CUSCO,1,60
