DESCRIPCION,AREA EN m2,TIPO ALMACEN,NIVEL DE ALMACEN,Latitud,Longitud,Departamento
CHINCHA CHINCHA ALTA CHINCHA MUNICIPALIDAD PROVINCIAL,400 m2,Adelantado,1,-13.42553,-76.13671099999999,ICA
GOBIERNO REGIONAL,200 m2,Adelantado,2,-14.0755676,-75.7350388,ICA
NAZCA NAZCA NAZCA MUNICIPALIDAD PROVINCIAL,150 m2,Adelantado,1,-14.8358687,-74.9327583,ICA
CHANCHAMAYO CHANCHAMAYO CHANCHAMAYO MUNICIPALIDAD PR,120 m2,Adelantado,1,-11.0724787,-75.3394744,JUNIN
HUANCAYO HUANCAYO  GOBIERNO REGIONAL,120 m2,Adelantado,2,-12.0700514,-75.20890570000002,JUNIN
SATIPO SATIPO SATIPO MUNICIPALIDAD PROVINCIAL,80 m2,Adelantado,2,-11.2536996,-74.6362209,JUNIN
HUAROCHIRI ANTIOQUIA,80 m2,Adelantado,1,-12.0792725,-76.50907889999999,LIMA
HUAROCHIRI MATUCANA,100 m2,Adelantado,1,-11.8407317,-76.37964529999999,LIMA
HUAURA HUACHO HUACHO MUNICIPALIDAD PROVINCIAL,200 m2,Adelantado,1,-11.1227218,-77.61056789999999,LIMA
LIMA LIMA LURIGANCHO CHOS MUNICIPALIDAD PROVINCIAL,300 m2,Adelantado,1,-12.0294666,-77.010205,ICA
CARRION YANAHUANCA YANAHUANCA MUNICIPALIDAD PROVINCIAL,70 m2,Adelantado,1,-10.4906049,-76.5147884,PASCO
OXAPAMPA OXAPAMPA OXAPAMPA MUNICIPALIDAD PROVINCIAL,80 m2,Adelantado,1,-10.5852663,-75.40533669999999,PASCO
YANACANCHA  GOBIERNO REGIONAL,60 m2,Adelantado,2,-10.6654093,-76.2521634,PASCO
BUSTAM RIVERO AREQUIP DRDC,800 m2,Central,3,-16.4341104,-71.5219477,AREQUIPA
CARAVELI ACARI ACARI MUNICIPALIDAD DISTRITAL,200 m2,Adelantado,1,-15.4384565,-74.6180833,AREQUIPA
CARAVELI CARAVELI CARAVELI MUNICIPALIDAD PROVINCIAL,1400 m2,Adelantado,1,-15.7725853,-73.3657789,AREQUIPA
CASTILLA VIRACO VIRACO MUNICIPALIDAD DISTRITAL,90 m2,Adelantado,2,-15.66758,-72.53443899999999,AREQUIPA
CAYLLOMA CAYLLOMA CAYLLOMA MUNICIPALIDAD DISTRITAL,48 m2,Adelantado,2,-15.6366445,-71.60264790000001,AREQUIPA
CAYLLOMA CHIVAY CHIVAY MUNICIPALIDAD PROVINCIAL,375 m2,Adelantado,1,-15.6393489,-71.5990999,AREQUIPA
CHUQUIBAMBA CONDESUYOS MUNICIPALIDAD,400 m2,Adelantado,2,-15.84834,-72.657494,AREQUIPA
LA UNION COTAHUASI COTAHUASI MUNICIPALIDAD PROVINCIAL,600 m2,Adelantado,1,-15.2122806,-72.89017249999999,AREQUIPA
NIETO CARUMAS MUNICIPALIDAD,105 m2,Adelantado,1,-16.8093546,-70.69546679999999,MOQUEGUA
SAMEGUA DIRECCION REGIONAL DC,400 m2,Central,2,-17.1906786,-70.9216886,MOQUEGUA
CERRO CHOJOTA MUNICIPALIDAD,100 m2,Adelantado,1,-16.4,-70.733333,MOQUEGUA
CERRO ICHUÑA MUNICIPALIDAD,60 m2,Adelantado,1,-16.1399754,-70.5363313,MOQUEGUA
CERRO UBINAS MUNICIPALIDAD,200 m2,Adelantado,1,-16.3880748,-70.8551028,MOQUEGUA
SANCHES CERRO OMATE MUNICIPALIDAD,80 m2,Adelantado,1,-16.6735115,-70.97176929999999,MOQUEGUA
AZANGARO AZANGARO MUNICIPALIDAD,150 m2,Adelantado,3,-14.9164287,-70.196185,PUNO
CARABAYA COAZA MUNICIPALIDAD,150 m2,Adelantado,2,-13.9871132,-70.0168186,PUNO
CARABAYA MACUSANI MUNICIPALIDAD,150 m2,Adelantado,1,-14.072176,-70.4253389,PUNO
CHUCUITO JULI MUNICIPALIDAD,150 m2,Adelantado,2,-16.2142869,-69.4575979,PUNO
EL COLLAO ILAVE MUNICIPALIDAD,150 m2,Adelantado,2,-16.0825395,-69.6384724,PUNO
HUANCANE HUANCANE MUNICIPALIDAD,150 m2,Adelantado,3,-15.2053189,-69.76145679999999,PUNO
LAMPA LAMPA MUNICIPALIDAD,150 m2,Adelantado,2,-15.3612378,-70.3628516,PUNO
MELGAR AYAVIRI MUNICIPALIDAD,150 m2,Adelantado,3,-14.8842942,-70.5889612,PUNO
MUNICIPALIDAD,150 m2,Adelantado,2,-15.8402218,-70.0218805,PUNO
ANTONIO PUTINA MUNICIPALIDAD,150 m2,Adelantado,3,-14.9161022,-69.86848859999999,PUNO
ANTONIO SINA MUNICIPALIDAD,150 m2,Adelantado,1,-14.50176,-69.29467,PUNO
SAN ROMAN JULIACA MUNICIPALIDAD,150 m2,Adelantado,2,-15.493722,-70.1355755,PUNO
SAN ROMAN JULIACA DIRECCION REGIONAL DC,6000 m2,Central,2,-15.5056335,-70.1257347,PUNO
SANDIA LIMBANI MUNICIPALIDAD,150 m2,Adelantado,2,-14.13785,-69.69991300000001,PUNO
SANDIA JUAN DEL ORO MUNICIPALIDAD,150 m2,Adelantado,1,-14.27757,-69.215172,PUNO
SANDIA SANDIA MUNICIPALIDAD,150 m2,Adelantado,1,-14.3175114,-69.4678265,PUNO
CANDARAVE CANDARAVE CANDAVERE MUNICIPALIDAD PROVINCIAL,160 m2,Adelantado,1,-17.2684815,-70.2512498,TACNA
BASADRE ILABAYA ILABAYA MUNICIPALIDAD DISTRITAL,70 m2,Adelantado,1,-17.4204023,-70.5127345,TACNA
BASADRE LOCUMBA LOCUMBA MUNICIPALIDAD PROVINCIAL,80 m2,Adelantado,1,-17.6139877,-70.7626696,TACNA
PALCA PALCA MUNICIPALIDAD DISTRITAL,80 m2,Adelantado,2,-17.776389,-69.958889,TACNA
DIRECCION REGIONAL DC,1500 m2,Central,2,-18.0115899,-70.2561781,TACNA
TARATA TARATA TARATA MUNICIPALIDAD PROVINCIAL,200 m2,Adelantado,1,-17.4776078,-70.0339387,TACNA
ABANCAY ABANCAY DIRECCION REGIONAL DC,250 m2,Central,2,-13.6404514,-72.8834857,APURIMAC
ANDAHUAYLAS ANDAHUAYLAS MUNICIPALIDAD,200 m2,Adelantado,2,-13.6616515,-73.3767641,APURIMAC
ANTABAMBA ANTABAMBA MUNICIPALIDAD PROVINCIAL,70 m2,Adelantado,1,-14.3651534,-72.8778527,APURIMAC
CHINCHEROS CHINCHEROS CPDC CHINCHEROS,300 m2,Adelantado,2,-13.5177661,-73.723513,APURIMAC
COTABAMBAS COTABAMBAS COTABAMBAS MUNICIPALIDAD DI,100 m2,Adelantado,1,-13.75711,-72.363632,APURIMAC
GRAU CHUQUIBAMBILLA MUNICIPALIDAD PROVINCIAL,150 m2,Adelantado,1,-14.11414,-72.714928,APURIMAC
CANAS YANAOCA YANAOCA MUNICIPALIDAD PROVINCIAL,160 m2,Adelantado,1,-14.2171388,-71.4314206,CUSCO
CANCHIS SICUANI SICUANI MUNICIPALIDAD PROVINCIAL,120 m2,Adelantado,2,-14.2713299,-71.2220832,CUSCO
CHUMBIVILCAS STO TOMAS SANTO TOMAS MUNICIPALIDAD PR,40 m2,Adelantado,2,-14.4501924,-72.0819794,CUSCO
CONVENCION STA ANA QUILLABAMBA MUNICIPALIDAD PROVINCIAL,180 m2,Adelantado,2,-12.862626,-72.693354,CUSCO
WANCHAQ  DIRECCION REGIONAL DC,250 m2,Central,3,-13.527441,-71.9699457,CUSCO
ESPINAR ESPINAR YAURI MUNICIPALIDAD PROVINCIAL,70 m2,Adelantado,2,-14.7895845,-71.412125,CUSCO
ALMACEN GENERAL DE  LA VICTORIA,150 m2,Adelantado,0,-12.0417693,-77.040296,LIMA
ALMACEN SUNAT,49 m2,Adelantado,0,-12.0798173,-76.9668835,LIMA
