,N°,Departamento,Provincia,Ubigeo distrital_x,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,"Casos de neumonías 
(< a 5 años)","Defunciones por neumonías
(< a 5 años)",Frecuencia de heladas (días/mes),Incidencia de Pobreza,Nivel de Riesgo MINSA,Población de 60 años a más,Población menor a 5 años,Porc. viviendas según el material utilizado para cocinar ,Tasa de Analfabetismo,"Tasa de Desnutrición Crónica
(< a 5 años)","Tasa de mortalidad 
(< a 5 años)","Tasa de neumonías
(< a 5 años)",Total del distrito,T° Mínima P10 (°C),"T° Mínima P5
 (°C)",Ubigeo distrital_y,Valor del IDS
96,97,HUANCAVELICA,HUANCAVELICA,90115,PILCHACA,901060001,901060001,90106,HUACHOCOLPA,HUACHOCOLPA,TAMBO HUACHOCOLPA,0,0,10 a 20 dias,59.1,ALTO,63,59,92.3076923077,17.3027992249,50,0,0,497,-11 a -5,,090115,0.035
97,98,HUANCAVELICA,HUAYTARA,90601,HUAYTARA,906100033,906100033,90610,"SAN ANTONIO DE
CUSICANCHA","SACSAQUERO
QUISUAARPAMPA",TAMBO SACSAQUERO,4,0,5 a 10 dias,15.19,ALTO,230,281,41.4728682171,7.24823617935,20.5,0,14.4927536232,2097,-11 a -5,,090601,0.3158
98,99,HUANCAVELICA,HUAYTARA,90607,PILPICHACA,906100033,906100033,90610,"SAN ANTONIO DE
CUSICANCHA","SACSAQUERO
QUISUAARPAMPA",TAMBO SACSAQUERO,0,0,20 a 31 dias,62.54,ALTO,239,634,77.0491803279,17.0435504913,55.5,0,0,3712,-14 a -11,,090607,0.035
99,100,HUANCAVELICA,HUAYTARA,90610,SAN ANTONIO DE CUSICANCHA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO,1,0,10 a 20 dias,74.89,ALTO,135,252,86.5079365079,16.129032135,38.8,0,3.95256916996,1662,-11 a -5,,090610,0.0944
100,101,HUANUCO,DOS DE MAYO,100307,CHUQUIS,1003070075,1003070075,100307,CHUQUIS,UCRUMARCA,TAMBO UCRUMARCA,1,0,5 a 10 dias,60.51,ALTO,604,717,94.8555956679,19.4525089264,39.2,0,1.39082058414,5945,-11 a -5,,100307,0.0548
102,103,HUANUCO,LAURICOCHA,101001,JESUS,1010070001,1010070001,101007,"SAN MIGUEL DE
CAURI",CAURI,TAMBO SAN MIGUEL DE CAURI,1,0,10 a 20 dias,49.72,MEDIO,553,588,84.1374269006,7.07135915756,26.7,0,1.68634064081,5736,-11 a -5,,101001,0.0548
103,104,HUANUCO,LAURICOCHA,101007,SAN MIGUEL DE CAURI,1010070001,1010070001,101007,"SAN MIGUEL DE
CAURI",CAURI,TAMBO SAN MIGUEL DE CAURI,1,0,10 a 20 dias,58.4,ALTO,601,1206,67.0050761421,10.1405239105,31.5,0,0.833333333333,10304,-14 a -11,,101007,0.0548
104,105,JUNIN,JAUJA,120426,MONOBAMBA,1204260009,1204260009,120426,MONOBAMBA,BARIO NUEVO MOLINO,TAMBO BARIO NUEVO MOLINO,0,0,,29.39,ALTO,137,114,80.8139534884,8.9073638916,13.6,0,0,1074,,Menor de 15°C,120419,0.035
105,105,PASCO,OXAPAMPA,190302,CHONTABAMBA,1903030001,1903030001,190303,HUANCABAMBA,HUANCABAMBA,TAMBO HUANCABAMBA,7,0,,39.3,MUY ALTO,354,360,50.2606882169,8.78107452393,12.3,0,19.1780821918,3541,,Menor de 15°C,190302,0.3158
106,106,PASCO,OXAPAMPA,190303,HUANCABAMBA,1903030001,1903030001,190303,HUANCABAMBA,HUANCABAMBA,TAMBO HUANCABAMBA,3,0,,59.13,MUY ALTO,557,678,81.8181818182,10.7986497879,12.1,0,4.37317784257,6561,,Menor de 15°C,190303,0.17
107,107,PASCO,OXAPAMPA,190301,OXAPAMPA,1903030001,1903030001,190303,HUANCABAMBA,HUANCABAMBA,TAMBO HUANCABAMBA,9,1,,37.68,MUY ALTO,1366,1202,41.2192393736,6.00230407715,9.9,0.814332247557,7.32899022801,14283,,Menor de 15°C,190301,0.26
108,108,PASCO,OXAPAMPA,190304,PALCAZU,1903030001,1903030001,190303,HUANCABAMBA,HUANCABAMBA,TAMBO HUANCABAMBA,4,0,,65.21,ALTO,597,1393,74.9554896142,7.13594579697,21.5,0,2.8901734104,10961,,15°C a 17°C,190304,0.0944
109,109,PASCO,OXAPAMPA,190305,POZUZO,1903030001,1903030001,190303,HUANCABAMBA,HUANCABAMBA,TAMBO HUANCABAMBA,7,0,,62.91,MUY ALTO,623,1246,78.7652645862,16.529800415,17.9,0,5.63153660499,9550,,Menor de 15°C,190305,0.17
110,110,PASCO,OXAPAMPA,190307,VILLA RICA,1903030001,1903030001,190303,HUANCABAMBA,HUANCABAMBA,TAMBO HUANCABAMBA,16,0,,47.51,ALTO,1549,2041,49.4019471488,9.49614715576,11.5,0,7.73320444659,20352,,Menor de 15°C,190307,0.17
111,111,PASCO,PASCO,190101,CHAUPIMARCA,1901100042,1901100042,190110,TICLACAYAN,SAN JUAN DE YANACHI,TAMBO SAN JUAN DE YANACACHI,47,0,20 a 31 dias,27.3,MUY ALTO,1385,2474,7.83369022127,3.77579593658,28.6,0,18.7774670396,25824,-11 a -5,,190101,0.3158
112,112,PASCO,PASCO,190110,TICLACAYAN,1901100042,1901100042,190110,TICLACAYAN,SAN JUAN DE YANACHI,TAMBO SAN JUAN DE YANACACHI,1,0,10 a 20 dias,85.14,ALTO,986,1531,65.6684491979,13.5284137726,18.7,0,0.689655172414,14027,-11 a -5,,190110,0.0548
113,113,TACNA,TACNA,230107,PALCA,2301070045,2301070045,230107,PALCA,ALTO PERU,TAMBO ALTO PERU,0,0,2 a 5 dias,40.52,BAJO,231,147,96.5357967667,8.15677928925,17.9,0,0,1688,-14 a -11,,230107,0.035
114,114,LORETO,MAYNAS,160102,ALTO NANAY,1601020044,1601020044,160102,ALTO NANAY,DIAMANTE AZUL,TAMBO DIAMANTE AZUL,16,0,,47.05,ALTO,255,352,95.4819277108,8.19581985474,31.1,0,47.4777448071,3042,,19°C a 20°C,160102,0.3158
115,115,LORETO,MAYNAS,160101,IQUITOS,1601020044,1601020044,160102,ALTO NANAY,DIAMANTE AZUL,TAMBO DIAMANTE AZUL,115,1,,9.81,ALTO,14681,10697,24.5829816311,1.7853076458,16.3,0.0916506278068,10.5398221978,149994,,19°C a 20°C,160101,0.329
116,116,LORETO,MAYNAS,160108,PUNCHANA,1601020044,1601020044,160102,ALTO NANAY,DIAMANTE AZUL,TAMBO DIAMANTE AZUL,217,0,,24.15,ALTO,6257,8522,47.7169597277,1.87104821205,20.6,0,25.3593549141,92284,,19°C a 20°C,160108,0.3158
